,Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
122,Pakistan,South Africa,Pakistan,33 runs,Sydney,"Nov 3, 2022",T20I # 1861
123,Bangladesh,India,India,5 runs,Adelaide,"Nov 2, 2022",T20I # 1860
124,Netherlands,Zimbabwe,Netherlands,5 wickets,Adelaide,"Nov 2, 2022",T20I # 1859
125,England,New Zealand,England,20 runs,Brisbane,"Nov 1, 2022",T20I # 1858
126,Tanzania,Rwanda,Tanzania,21 runs,Dar-es-Salaam,"Nov 1, 2022",T20I # 1857
127,Afghanistan,Sri Lanka,Sri Lanka,6 wickets,Brisbane,"Nov 1, 2022",T20I # 1856
128,Australia,Ireland,Australia,42 runs,Brisbane,"Oct 31, 2022",T20I # 1855
129,Tanzania,Rwanda,Tanzania,54 runs,Dar-es-Salaam,"Oct 31, 2022",T20I # 1854
130,India,South Africa,South Africa,5 wickets,Perth,"Oct 30, 2022",T20I # 1853
131,Netherlands,Pakistan,Pakistan,6 wickets,Perth,"Oct 30, 2022",T20I # 1852
132,Bangladesh,Zimbabwe,Bangladesh,3 runs,Brisbane,"Oct 30, 2022",T20I # 1851
133,New Zealand,Sri Lanka,New Zealand,65 runs,Sydney,"Oct 29, 2022",T20I # 1850
134,Pakistan,Zimbabwe,Zimbabwe,1 run,Perth,"Oct 27, 2022",T20I # 1849
135,India,Netherlands,India,56 runs,Sydney,"Oct 27, 2022",T20I # 1848
136,Bangladesh,South Africa,South Africa,104 runs,Sydney,"Oct 27, 2022",T20I # 1847
137,England,Ireland,Ireland,5 runs,Melbourne,"Oct 26, 2022",T20I # 1846
138,Australia,Sri Lanka,Australia,7 wickets,Perth,"Oct 25, 2022",T20I # 1845
139,South Africa,Zimbabwe,no result,-,Hobart,"Oct 24, 2022",T20I # 1844
140,Bangladesh,Netherlands,Bangladesh,9 runs,Hobart,"Oct 24, 2022",T20I # 1843
141,India,Pakistan,India,4 wickets,Melbourne,"Oct 23, 2022",T20I # 1842
142,Ireland,Sri Lanka,Sri Lanka,9 wickets,Hobart,"Oct 23, 2022",T20I # 1841
143,Afghanistan,England,England,5 wickets,Perth,"Oct 22, 2022",T20I # 1840
144,Australia,New Zealand,New Zealand,89 runs,Sydney,"Oct 22, 2022",T20I # 1839
145,Scotland,Zimbabwe,Zimbabwe,5 wickets,Hobart,"Oct 21, 2022",T20I # 1838
146,Ireland,West Indies,Ireland,9 wickets,Hobart,"Oct 21, 2022",T20I # 1837
147,Namibia,U.A.E.,U.A.E.,7 runs,Geelong,"Oct 20, 2022",T20I # 1836
148,Netherlands,Sri Lanka,Sri Lanka,16 runs,Geelong,"Oct 20, 2022",T20I # 1835
149,West Indies,Zimbabwe,West Indies,31 runs,Hobart,"Oct 19, 2022",T20I # 1834
150,Ireland,Scotland,Ireland,6 wickets,Hobart,"Oct 19, 2022",T20I # 1833
151,Sri Lanka,U.A.E.,Sri Lanka,79 runs,Geelong,"Oct 18, 2022",T20I # 1832
152,Indonesia,South Korea,Indonesia,3 wickets,Sano,"Oct 18, 2022",T20I # 1831
153,Namibia,Netherlands,Netherlands,5 wickets,Geelong,"Oct 18, 2022",T20I # 1830
154,Japan,Indonesia,Indonesia,6 wickets,Sano,"Oct 18, 2022",T20I # 1829
155,Ireland,Zimbabwe,Zimbabwe,31 runs,Hobart,"Oct 17, 2022",T20I # 1828
156,Japan,South Korea,Japan,8 wickets,Sano,"Oct 17, 2022",T20I # 1827
157,Scotland,West Indies,Scotland,42 runs,Hobart,"Oct 17, 2022",T20I # 1826
158,Netherlands,U.A.E.,Netherlands,3 wickets,Geelong,"Oct 16, 2022",T20I # 1825
159,Japan,Indonesia,Japan,4 wickets,Sano,"Oct 16, 2022",T20I # 1824
160,Namibia,Sri Lanka,Namibia,55 runs,Geelong,"Oct 16, 2022",T20I # 1823
161,Japan,South Korea,Japan,48 runs,Sano,"Oct 15, 2022",T20I # 1822
162,Indonesia,South Korea,Indonesia,64 runs,Sano,"Oct 15, 2022",T20I # 1821
163,Australia,England,no result,-,Canberra,"Oct 14, 2022",T20I # 1820
164,New Zealand,Pakistan,Pakistan,5 wickets,Christchurch,"Oct 14, 2022",T20I # 1819
165,Bangladesh,Pakistan,Pakistan,7 wickets,Christchurch,"Oct 13, 2022",T20I # 1818
166,Australia,England,England,8 runs,Canberra,"Oct 12, 2022",T20I # 1817
167,New Zealand,Bangladesh,New Zealand,48 runs,Christchurch,"Oct 12, 2022",T20I # 1816
168,New Zealand,Pakistan,New Zealand,9 wickets,Christchurch,"Oct 11, 2022",T20I # 1815
169,Japan,Indonesia,Indonesia,3 wickets,Sano,"Oct 11, 2022",T20I # 1814
170,Japan,Indonesia,Japan,75 runs,Sano,"Oct 10, 2022",T20I # 1813
171,Australia,England,England,8 runs,Perth,"Oct 9, 2022",T20I # 1812
